Movie,['Director(s)'],['Cast']
The Godfather,['Francis Ford Coppola'],"['Abe Vigoda', 'Al Lettieri', 'Diane Keaton', 'Gianni Russo', 'James Caan', 'John Cazale', 'John Marley', 'Richard Conte', 'Richard S. Castellano', 'Robert Duvall', 'Rudy Bond', 'Sterling Hayden', 'Talia Shire', 'Al Pacino', 'Marlon Brando']"
Citizen Kane,['Orson Welles'],"['Agnes Moorehead', 'Dorothy Comingore', 'Erskine Sanford', 'Everett Sloane', 'Fortunio Bonanova', 'George Coulouris', 'Georgia Backus', 'Gus Schilling', 'Harry Shannon', 'Paul Stewart', 'Philip Van Zandt', 'Ray Collins', 'Ruth Warrick', 'William Alland', 'Joseph Cotten', 'Orson Welles']"
Rear Window,['Alfred Hitchcock'],"['Havis Davenport', 'Irene Winston', 'Jerry Antes', 'Jesslyn Fax', 'Rand Harper', 'Frank Cady', 'Georgine Darcy', 'Grace Kelly', 'James Stewart', 'Judith Evelyn', 'Raymond Burr', 'Ross Bagdasarian', 'Sara Berner', 'Thelma Ritter', 'Wendell Corey']"
Casablanca,['Michael Curtiz'],"['Claude Rains', 'Conrad Veidt', 'Curt Bois', 'Dooley Wilson', 'Enrique Acosta', 'John Qualen', 'Joy Page', 'Leonid Kinskey', 'Madeleine Lebeau', 'Paul Henreid', 'Peter Lorre', 'S.Z. Sakall', 'Sydney Greenstreet', 'Humphrey Bogart', 'Ingrid Bergman']"
Boyhood,['Richard Linklater'],"['Alyssa Petersen', 'Andrea Chen', 'Andrew Villarreal', 'Angela Rawna', 'Bonnie Cross', 'Brad Hawkins', 'Cassidy Johnson', 'David Blackwell', 'Deanna Brochin', 'Derek Chase Hickey', 'Elijah Smith', 'Ethan Hawke', 'Evie Thompson', 'Greg Baglia', 'Jamie Howard', 'Jonathan Bell', 'Jordan Howard', 'Libby Villari', 'Lorelei Linklater', 'Marco Perella', 'Mark Finn', 'Megan Devine', 'Mona Lee Fultz', 'Natalie Wilemon', 'Nick Krause', 'Patricia Arquette', 'Ryan Power', 'Sam Dillon', 'Savannah Welch', 'Shane Graham', 'Sharee Fowler', 'Steven Chester Prince', 'Sydney Orta', 'Tamara Jolaine', 'Tess Allen', 'Zoe Graham', 'Bonnie Cross', 'Elijah Smith', 'Ellar Coltrane', 'Ethan Hawke', 'Libby Villari', 'Lorelei Linklater', 'Marco Perella', 'Patricia Arquette', 'Steven Chester Prince']"
Three Colors: Red,['Krzysztof Kieslowski'],"['Bernard Escalon', 'Brigitte Raul', 'Elzbieta Jasinska', 'Frédérique Feder', 'Jean Schlegel', 'Jean-Marie Daunas', 'Jean-Pierre Lorit', 'Leo Ramseyer', 'Marion Stalens', 'Paul Vermeulen', 'Roland Carey', 'Samuel Le Bihan', 'Teco Celio', 'Irène Jacob', 'Jean-Louis Trintignant']"
Vertigo,['Alfred Hitchcock'],"['Danny Borzage', 'Isabel Analla', 'Jack Ano', 'John Benson', 'Margaret Bacon', 'Barbara Bel Geddes', 'David Ahdar', 'Ellen Corby', 'Henry Jones', 'James Stewart', 'Kim Novak', 'Konstantin Shayne', 'Lee Patrick', 'Raymond Bailey', 'Tom Helmore']"
Notorious,['Alfred Hitchcock'],"['Bernice Barrett', 'Charles Mendl', 'E.A. Krumschmidt', 'Fay Baker', 'Ricardo Costa', 'Alexis Minotis', 'Cary Grant', 'Claude Rains', 'Ingrid Bergman', 'Ivan Triesault', 'Leopoldine Konstantin', 'Louis Calhern', 'Moroni Olsen', 'Reinhold Schünzel', 'Wally Brown']"
Singin' in the Rain,"['Gene Kelly', 'Stanley Donen']","['Bette Arlen', 'Betty Allen', 'Jimmy Bates', 'Marie Ardell', 'Sue Allen', 'Cyd Charisse', 'Dawn Addams', 'Debbie Reynolds', ""Donald O'Connor"", 'Douglas Fowley', 'Gene Kelly', 'Jean Hagen', 'John Albright', 'Millard Mitchell', 'Rita Moreno']"
City Lights,['Charles Chaplin'],"['Al Ernest Garcia', 'Albert Austin', 'Betty Blair', 'Buster Brodie', 'Eddie Baker', 'Florence Lee', 'Hank Mann', 'Harry Ayers', 'Harry Myers', 'Henry Bergman', 'Jack Alexander', 'T.S. Alexander', 'Victor Alexander', 'Charles Chaplin', 'Virginia Cherrill']"
